rank,metric,timestamp,value,unit,normal_value,pct_of_normal,verdict
1,gas,2026-01-24T05:48:11Z,1731.69,MGas/s,2048,84.6%,THROUGHPUT CRASHED
2,gas,2026-01-23T04:15:11Z,1750.49,MGas/s,2048,85.5%,THROUGHPUT CRASHED
3,gas,2026-01-24T05:27:11Z,1751.0,MGas/s,2048,85.5%,THROUGHPUT CRASHED
4,gas,2026-01-24T04:59:11Z,1751.04,MGas/s,2048,85.5%,THROUGHPUT CRASHED
5,gas,2026-01-24T04:52:11Z,1751.19,MGas/s,2048,85.5%,THROUGHPUT CRASHED
6,gas,2026-01-24T05:34:11Z,1751.3,MGas/s,2048,85.5%,THROUGHPUT CRASHED
7,gas,2026-01-24T05:06:11Z,1751.35,MGas/s,2048,85.5%,THROUGHPUT CRASHED
8,gas,2026-01-24T05:20:11Z,1751.42,MGas/s,2048,85.5%,THROUGHPUT CRASHED
9,gas,2026-01-24T05:13:11Z,1751.53,MGas/s,2048,85.5%,THROUGHPUT CRASHED
10,gas,2026-01-24T05:41:11Z,1751.97,MGas/s,2048,85.5%,THROUGHPUT CRASHED
1,tps,2026-01-24T05:48:11Z,15.95,K TPS,21.0,75.9%,TPS CRASHED
2,tps,2026-01-23T04:15:11Z,16.05,K TPS,21.0,76.4%,TPS CRASHED
3,tps,2026-01-24T05:27:11Z,16.06,K TPS,21.0,76.5%,TPS CRASHED
4,tps,2026-01-24T04:59:11Z,16.06,K TPS,21.0,76.5%,TPS CRASHED
5,tps,2026-01-24T04:52:11Z,16.06,K TPS,21.0,76.5%,TPS CRASHED
6,tps,2026-01-24T05:34:11Z,16.06,K TPS,21.0,76.5%,TPS CRASHED
7,tps,2026-01-24T05:20:11Z,16.06,K TPS,21.0,76.5%,TPS CRASHED
8,tps,2026-01-24T05:06:11Z,16.06,K TPS,21.0,76.5%,TPS CRASHED
9,tps,2026-01-24T05:13:11Z,16.06,K TPS,21.0,76.5%,TPS CRASHED
10,tps,2026-01-24T05:41:11Z,16.07,K TPS,21.0,76.5%,TPS CRASHED
1,block_interval,2026-01-24T05:48:11Z,9.825,ms,9.32,105.4%,BLOCKS SLOWED
2,block_interval,2026-01-24T05:27:11Z,9.738,ms,9.32,104.5%,BLOCKS SLOWED
3,block_interval,2026-01-24T04:59:11Z,9.736,ms,9.32,104.5%,BLOCKS SLOWED
4,block_interval,2026-01-24T05:06:11Z,9.736,ms,9.32,104.5%,BLOCKS SLOWED
5,block_interval,2026-01-24T05:34:11Z,9.735,ms,9.32,104.5%,BLOCKS SLOWED
6,block_interval,2026-01-24T05:41:11Z,9.734,ms,9.32,104.4%,BLOCKS SLOWED
7,block_interval,2026-01-24T05:13:11Z,9.731,ms,9.32,104.4%,BLOCKS SLOWED
8,block_interval,2026-01-24T04:52:11Z,9.73,ms,9.32,104.4%,BLOCKS SLOWED
9,block_interval,2026-01-23T04:15:11Z,9.726,ms,9.32,104.4%,BLOCKS SLOWED
10,block_interval,2026-01-24T05:20:11Z,9.724,ms,9.32,104.3%,BLOCKS SLOWED
