start_time,end_time,duration_min,data_points,min_tps,min_gas_mgas,severity
2026-01-27T22:21:00Z,2026-01-27T22:21:00Z,0,1,10768,1055.1,CRITICAL
2026-01-27T19:01:00Z,2026-01-27T19:03:00Z,2,2,11318,1105.7,CRITICAL
2026-01-28T02:18:00Z,2026-01-28T02:18:00Z,0,1,15129,1478.2,CRITICAL
2026-01-27T14:25:00Z,2026-01-27T14:25:00Z,0,1,15368,1503.1,WARNING
2026-01-27T17:51:00Z,2026-01-27T17:51:00Z,0,1,17038,1662.4,WARNING
2026-01-27T14:13:00Z,2026-01-27T14:13:00Z,0,1,17158,1674.0,WARNING
2026-01-28T03:13:00Z,2026-01-28T03:13:00Z,0,1,18833,1834.8,WARNING
2026-01-27T20:18:00Z,2026-01-27T20:18:00Z,0,1,18882,1841.0,WARNING
2026-01-27T16:41:00Z,2026-01-27T16:48:00Z,7,3,19006,1852.7,WARNING
2026-01-26T13:52:00Z,2026-01-26T13:54:00Z,2,2,19267,1869.8,WARNING
2026-01-27T14:07:00Z,2026-01-27T14:07:00Z,0,1,19241,1875.5,WARNING
2026-01-27T18:20:00Z,2026-01-27T18:20:00Z,0,1,19284,1879.9,WARNING
2026-01-25T13:49:00Z,2026-01-25T13:49:00Z,0,1,19544,1896.1,WARNING
2026-01-26T23:32:00Z,2026-01-26T23:32:00Z,0,1,19452,1896.5,WARNING
2026-01-27T19:18:00Z,2026-01-27T19:18:00Z,0,1,19451,1897.8,WARNING
2026-01-27T12:42:00Z,2026-01-27T12:42:00Z,0,1,19551,1905.8,MINOR
2026-01-27T16:24:00Z,2026-01-27T16:24:00Z,0,1,19557,1907.9,MINOR
2026-01-26T01:37:00Z,2026-01-26T01:40:00Z,3,3,19706,1912.5,MINOR
2026-01-27T19:31:00Z,2026-01-27T19:31:00Z,0,1,19615,1913.3,MINOR
2026-01-28T01:00:00Z,2026-01-28T01:00:00Z,0,1,19653,1915.8,MINOR
2026-01-27T21:28:00Z,2026-01-27T21:28:00Z,0,1,19672,1918.3,MINOR
2026-01-28T01:48:00Z,2026-01-28T01:51:00Z,3,2,19722,1918.9,MINOR
2026-01-27T18:37:00Z,2026-01-27T18:37:00Z,0,1,19761,1926.8,MINOR
2026-01-25T13:54:00Z,2026-01-25T13:54:00Z,0,1,19948,1931.4,MINOR
2026-01-27T13:07:00Z,2026-01-27T13:07:00Z,0,1,19945,1934.8,MINOR
2026-01-27T01:58:00Z,2026-01-27T01:59:00Z,1,2,19909,1935.4,MINOR
2026-01-27T17:25:00Z,2026-01-27T17:25:00Z,0,1,19885,1939.9,MINOR
2026-01-27T15:28:00Z,2026-01-27T15:28:00Z,0,1,19954,1943.5,MINOR
2026-01-27T12:35:00Z,2026-01-27T12:35:00Z,0,1,20021,1951.6,MINOR
2026-01-27T16:31:00Z,2026-01-27T16:31:00Z,0,1,20023,1952.0,MINOR
2026-01-27T23:18:00Z,2026-01-27T23:18:00Z,0,1,20039,1952.4,MINOR
2026-01-26T13:04:00Z,2026-01-26T13:04:00Z,0,1,20065,1955.4,MINOR
2026-01-28T00:26:00Z,2026-01-28T00:26:00Z,0,1,20108,1959.5,MINOR
2026-01-28T00:39:00Z,2026-01-28T00:39:00Z,0,1,20141,1963.7,MINOR
2026-01-28T02:03:00Z,2026-01-28T02:03:00Z,0,1,20173,1966.4,MINOR
2026-01-26T09:07:00Z,2026-01-26T09:07:00Z,0,1,20176,1966.6,MINOR
2026-01-26T08:32:00Z,2026-01-26T08:32:00Z,0,1,20241,1972.1,MINOR
2026-01-26T17:41:00Z,2026-01-26T17:41:00Z,0,1,20248,1972.5,MINOR
2026-01-26T14:49:00Z,2026-01-26T14:49:00Z,0,1,20264,1974.4,MINOR
2026-01-26T16:11:00Z,2026-01-26T16:11:00Z,0,1,20263,1974.7,MINOR
2026-01-25T19:37:00Z,2026-01-25T19:37:00Z,0,1,20276,1974.8,MINOR
2026-01-26T16:36:00Z,2026-01-26T16:36:00Z,0,1,20286,1976.7,MINOR
2026-01-25T20:37:00Z,2026-01-25T20:37:00Z,0,1,20296,1976.7,MINOR
2026-01-26T19:56:00Z,2026-01-26T19:56:00Z,0,1,20292,1976.9,MINOR
2026-01-26T10:47:00Z,2026-01-26T10:47:00Z,0,1,20301,1978.1,MINOR
